rank,TABLE_NAME,fulldate,daypart,monthpart,yearpart,monthnum,daynum,yearnum,TABLE_ROWS
1,fo01jan2001bhav,01jan2001,01,jan,2001,1,1,2001,3
2,fo02jan2001bhav,02jan2001,02,jan,2001,1,2,2001,3
3,fo03jan2001bhav,03jan2001,03,jan,2001,1,3,2001,3
4,fo04jan2001bhav,04jan2001,04,jan,2001,1,4,2001,3
5,fo05jan2001bhav,05jan2001,05,jan,2001,1,5,2001,3
6,fo08jan2001bhav,08jan2001,08,jan,2001,1,8,2001,3
7,fo09jan2001bhav,09jan2001,09,jan,2001,1,9,2001,3
8,fo10jan2001bhav,10jan2001,10,jan,2001,1,10,2001,3
9,fo11jan2001bhav,11jan2001,11,jan,2001,1,11,2001,3
10,fo12jan2001bhav,12jan2001,12,jan,2001,1,12,2001,3
11,fo15jan2001bhav,15jan2001,15,jan,2001,1,15,2001,3
12,fo16jan2001bhav,16jan2001,16,jan,2001,1,16,2001,3
13,fo17jan2001bhav,17jan2001,17,jan,2001,1,17,2001,3
14,fo18jan2001bhav,18jan2001,18,jan,2001,1,18,2001,3
15,fo19jan2001bhav,19jan2001,19,jan,2001,1,19,2001,3
16,fo22jan2001bhav,22jan2001,22,jan,2001,1,22,2001,3
17,fo23jan2001bhav,23jan2001,23,jan,2001,1,23,2001,3
18,fo24jan2001bhav,24jan2001,24,jan,2001,1,24,2001,3
19,fo25jan2001bhav,25jan2001,25,jan,2001,1,25,2001,3
20,fo29jan2001bhav,29jan2001,29,jan,2001,1,29,2001,3
21,fo30jan2001bhav,30jan2001,30,jan,2001,1,30,2001,3
22,fo31jan2001bhav,31jan2001,31,jan,2001,1,31,2001,3
23,fo01feb2001bhav,01feb2001,01,feb,2001,2,1,2001,3
24,fo02feb2001bhav,02feb2001,02,feb,2001,2,2,2001,3
25,fo05feb2001bhav,05feb2001,05,feb,2001,2,5,2001,3
26,fo06feb2001bhav,06feb2001,06,feb,2001,2,6,2001,3
27,fo07feb2001bhav,07feb2001,07,feb,2001,2,7,2001,3
28,fo08feb2001bhav,08feb2001,08,feb,2001,2,8,2001,3
29,fo09feb2001bhav,09feb2001,09,feb,2001,2,9,2001,3
30,fo12feb2001bhav,12feb2001,12,feb,2001,2,12,2001,3
31,fo13feb2001bhav,13feb2001,13,feb,2001,2,13,2001,3
32,fo14feb2001bhav,14feb2001,14,feb,2001,2,14,2001,3
33,fo15feb2001bhav,15feb2001,15,feb,2001,2,15,2001,3
34,fo16feb2001bhav,16feb2001,16,feb,2001,2,16,2001,3
35,fo19feb2001bhav,19feb2001,19,feb,2001,2,19,2001,3
36,fo20feb2001bhav,20feb2001,20,feb,2001,2,20,2001,3
37,fo21feb2001bhav,21feb2001,21,feb,2001,2,21,2001,3
38,fo22feb2001bhav,22feb2001,22,feb,2001,2,22,2001,3
39,fo23feb2001bhav,23feb2001,23,feb,2001,2,23,2001,3
40,fo26feb2001bhav,26feb2001,26,feb,2001,2,26,2001,3
41,fo27feb2001bhav,27feb2001,27,feb,2001,2,27,2001,3
42,fo28feb2001bhav,28feb2001,28,feb,2001,2,28,2001,3
43,fo01mar2001bhav,01mar2001,01,mar,2001,3,1,2001,3
44,fo02mar2001bhav,02mar2001,02,mar,2001,3,2,2001,3
45,fo05mar2001bhav,05mar2001,05,mar,2001,3,5,2001,3
46,fo07mar2001bhav,07mar2001,07,mar,2001,3,7,2001,3
47,fo08mar2001bhav,08mar2001,08,mar,2001,3,8,2001,3
48,fo09mar2001bhav,09mar2001,09,mar,2001,3,9,2001,3
49,fo12mar2001bhav,12mar2001,12,mar,2001,3,12,2001,3
50,fo13mar2001bhav,13mar2001,13,mar,2001,3,13,2001,3
51,fo14mar2001bhav,14mar2001,14,mar,2001,3,14,2001,3
52,fo15mar2001bhav,15mar2001,15,mar,2001,3,15,2001,3
53,fo16mar2001bhav,16mar2001,16,mar,2001,3,16,2001,3
54,fo19mar2001bhav,19mar2001,19,mar,2001,3,19,2001,3
55,fo20mar2001bhav,20mar2001,20,mar,2001,3,20,2001,3
56,fo21mar2001bhav,21mar2001,21,mar,2001,3,21,2001,3
57,fo22mar2001bhav,22mar2001,22,mar,2001,3,22,2001,3
58,fo23mar2001bhav,23mar2001,23,mar,2001,3,23,2001,3
59,fo26mar2001bhav,26mar2001,26,mar,2001,3,26,2001,3
60,fo27mar2001bhav,27mar2001,27,mar,2001,3,27,2001,3
61,fo28mar2001bhav,28mar2001,28,mar,2001,3,28,2001,3
62,fo29mar2001bhav,29mar2001,29,mar,2001,3,29,2001,3
63,fo30mar2001bhav,30mar2001,30,mar,2001,3,30,2001,3
64,fo02apr2001bhav,02apr2001,02,apr,2001,4,2,2001,3
65,fo03apr2001bhav,03apr2001,03,apr,2001,4,3,2001,3
66,fo04apr2001bhav,04apr2001,04,apr,2001,4,4,2001,3
67,fo06apr2001bhav,06apr2001,06,apr,2001,4,6,2001,3
68,fo09apr2001bhav,09apr2001,09,apr,2001,4,9,2001,3
69,fo10apr2001bhav,10apr2001,10,apr,2001,4,10,2001,3
70,fo11apr2001bhav,11apr2001,11,apr,2001,4,11,2001,3
71,fo12apr2001bhav,12apr2001,12,apr,2001,4,12,2001,3
72,fo16apr2001bhav,16apr2001,16,apr,2001,4,16,2001,3
73,fo17apr2001bhav,17apr2001,17,apr,2001,4,17,2001,3
74,fo18apr2001bhav,18apr2001,18,apr,2001,4,18,2001,3
75,fo19apr2001bhav,19apr2001,19,apr,2001,4,19,2001,3
76,fo20apr2001bhav,20apr2001,20,apr,2001,4,20,2001,3
77,fo23apr2001bhav,23apr2001,23,apr,2001,4,23,2001,3
78,fo24apr2001bhav,24apr2001,24,apr,2001,4,24,2001,3
79,fo25apr2001bhav,25apr2001,25,apr,2001,4,25,2001,3
80,fo26apr2001bhav,26apr2001,26,apr,2001,4,26,2001,3
81,fo27apr2001bhav,27apr2001,27,apr,2001,4,27,2001,3
82,fo30apr2001bhav,30apr2001,30,apr,2001,4,30,2001,3
83,fo02may2001bhav,02may2001,02,may,2001,5,2,2001,3
84,fo03may2001bhav,03may2001,03,may,2001,5,3,2001,3
85,fo04may2001bhav,04may2001,04,may,2001,5,4,2001,3
86,fo07may2001bhav,07may2001,07,may,2001,5,7,2001,3
87,fo08may2001bhav,08may2001,08,may,2001,5,8,2001,3
88,fo09may2001bhav,09may2001,09,may,2001,5,9,2001,3
89,fo10may2001bhav,10may2001,10,may,2001,5,10,2001,3
90,fo11may2001bhav,11may2001,11,may,2001,5,11,2001,3
91,fo14may2001bhav,14may2001,14,may,2001,5,14,2001,3
92,fo15may2001bhav,15may2001,15,may,2001,5,15,2001,3
93,fo16may2001bhav,16may2001,16,may,2001,5,16,2001,3
94,fo17may2001bhav,17may2001,17,may,2001,5,17,2001,3
95,fo18may2001bhav,18may2001,18,may,2001,5,18,2001,3
96,fo21may2001bhav,21may2001,21,may,2001,5,21,2001,3
97,fo22may2001bhav,22may2001,22,may,2001,5,22,2001,3
98,fo23may2001bhav,23may2001,23,may,2001,5,23,2001,3
99,fo24may2001bhav,24may2001,24,may,2001,5,24,2001,3
100,fo25may2001bhav,25may2001,25,may,2001,5,25,2001,3
101,fo28may2001bhav,28may2001,28,may,2001,5,28,2001,3
102,fo29may2001bhav,29may2001,29,may,2001,5,29,2001,3
103,fo30may2001bhav,30may2001,30,may,2001,5,30,2001,3
104,fo31may2001bhav,31may2001,31,may,2001,5,31,2001,3
105,fo01jun2001bhav,01jun2001,01,jun,2001,6,1,2001,3
106,fo04jun2001bhav,04jun2001,04,jun,2001,6,4,2001,33
107,fo05jun2001bhav,05jun2001,05,jun,2001,6,5,2001,39
108,fo06jun2001bhav,06jun2001,06,jun,2001,6,6,2001,39
109,fo07jun2001bhav,07jun2001,07,jun,2001,6,7,2001,39
110,fo08jun2001bhav,08jun2001,08,jun,2001,6,8,2001,39
111,fo11jun2001bhav,11jun2001,11,jun,2001,6,11,2001,39
112,fo12jun2001bhav,12jun2001,12,jun,2001,6,12,2001,39
113,fo13jun2001bhav,13jun2001,13,jun,2001,6,13,2001,39
114,fo14jun2001bhav,14jun2001,14,jun,2001,6,14,2001,39
115,fo15jun2001bhav,15jun2001,15,jun,2001,6,15,2001,39
116,fo18jun2001bhav,18jun2001,18,jun,2001,6,18,2001,51
117,fo19jun2001bhav,19jun2001,19,jun,2001,6,19,2001,51
118,fo20jun2001bhav,20jun2001,20,jun,2001,6,20,2001,51
119,fo21jun2001bhav,21jun2001,21,jun,2001,6,21,2001,51
120,fo22jun2001bhav,22jun2001,22,jun,2001,6,22,2001,51
121,fo25jun2001bhav,25jun2001,25,jun,2001,6,25,2001,51
122,fo26jun2001bhav,26jun2001,26,jun,2001,6,26,2001,57
123,fo27jun2001bhav,27jun2001,27,jun,2001,6,27,2001,57
124,fo28jun2001bhav,28jun2001,28,jun,2001,6,28,2001,57
125,fo29jun2001bhav,29jun2001,29,jun,2001,6,29,2001,49
126,fo02jul2001bhav,02jul2001,02,jul,2001,7,2,2001,979
127,fo03jul2001bhav,03jul2001,03,jul,2001,7,3,2001,1063
128,fo04jul2001bhav,04jul2001,04,jul,2001,7,4,2001,1169
129,fo05jul2001bhav,05jul2001,05,jul,2001,7,5,2001,1193
130,fo06jul2001bhav,06jul2001,06,jul,2001,7,6,2001,1205
131,fo09jul2001bhav,09jul2001,09,jul,2001,7,9,2001,1235
132,fo10jul2001bhav,10jul2001,10,jul,2001,7,10,2001,1247
133,fo11jul2001bhav,11jul2001,11,jul,2001,7,11,2001,1265
134,fo12jul2001bhav,12jul2001,12,jul,2001,7,12,2001,1295
135,fo13jul2001bhav,13jul2001,13,jul,2001,7,13,2001,1331
136,fo16jul2001bhav,16jul2001,16,jul,2001,7,16,2001,1339
137,fo17jul2001bhav,17jul2001,17,jul,2001,7,17,2001,1357
138,fo18jul2001bhav,18jul2001,18,jul,2001,7,18,2001,1357
139,fo19jul2001bhav,19jul2001,19,jul,2001,7,19,2001,1363
140,fo20jul2001bhav,20jul2001,20,jul,2001,7,20,2001,1393
141,fo23jul2001bhav,23jul2001,23,jul,2001,7,23,2001,1399
142,fo24jul2001bhav,24jul2001,24,jul,2001,7,24,2001,1405
143,fo25jul2001bhav,25jul2001,25,jul,2001,7,25,2001,1417
144,fo26jul2001bhav,26jul2001,26,jul,2001,7,26,2001,1483
145,fo27jul2001bhav,27jul2001,27,jul,2001,7,27,2001,1333
146,fo30jul2001bhav,30jul2001,30,jul,2001,7,30,2001,1379
147,fo31jul2001bhav,31jul2001,31,jul,2001,7,31,2001,1391
148,fo01aug2001bhav,01aug2001,01,aug,2001,8,1,2001,1417
149,fo02aug2001bhav,02aug2001,02,aug,2001,8,2,2001,1445
150,fo03aug2001bhav,03aug2001,03,aug,2001,8,3,2001,1453
151,fo06aug2001bhav,06aug2001,06,aug,2001,8,6,2001,1461
152,fo07aug2001bhav,07aug2001,07,aug,2001,8,7,2001,1469
153,fo08aug2001bhav,08aug2001,08,aug,2001,8,8,2001,1481
154,fo09aug2001bhav,09aug2001,09,aug,2001,8,9,2001,1493
155,fo10aug2001bhav,10aug2001,10,aug,2001,8,10,2001,1501
156,fo13aug2001bhav,13aug2001,13,aug,2001,8,13,2001,1503
157,fo14aug2001bhav,14aug2001,14,aug,2001,8,14,2001,1509
158,fo16aug2001bhav,16aug2001,16,aug,2001,8,16,2001,1525
159,fo17aug2001bhav,17aug2001,17,aug,2001,8,17,2001,1547
160,fo20aug2001bhav,20aug2001,20,aug,2001,8,20,2001,1549
161,fo21aug2001bhav,21aug2001,21,aug,2001,8,21,2001,1549
162,fo23aug2001bhav,23aug2001,23,aug,2001,8,23,2001,1561
163,fo24aug2001bhav,24aug2001,24,aug,2001,8,24,2001,1573
164,fo27aug2001bhav,27aug2001,27,aug,2001,8,27,2001,1579
165,fo28aug2001bhav,28aug2001,28,aug,2001,8,28,2001,1593
166,fo29aug2001bhav,29aug2001,29,aug,2001,8,29,2001,1593
167,fo30aug2001bhav,30aug2001,30,aug,2001,8,30,2001,1599
168,fo31aug2001bhav,31aug2001,31,aug,2001,8,31,2001,1361
169,fo03sep2001bhav,03sep2001,03,sep,2001,9,3,2001,1393
170,fo04sep2001bhav,04sep2001,04,sep,2001,9,4,2001,1429
171,fo05sep2001bhav,05sep2001,05,sep,2001,9,5,2001,1447
172,fo06sep2001bhav,06sep2001,06,sep,2001,9,6,2001,1511
173,fo07sep2001bhav,07sep2001,07,sep,2001,9,7,2001,1577
174,fo10sep2001bhav,10sep2001,10,sep,2001,9,10,2001,1603
175,fo11sep2001bhav,11sep2001,11,sep,2001,9,11,2001,1603
176,fo12sep2001bhav,12sep2001,12,sep,2001,9,12,2001,1623
177,fo13sep2001bhav,13sep2001,13,sep,2001,9,13,2001,1711
178,fo14sep2001bhav,14sep2001,14,sep,2001,9,14,2001,1751
179,fo17sep2001bhav,17sep2001,17,sep,2001,9,17,2001,1877
180,fo18sep2001bhav,18sep2001,18,sep,2001,9,18,2001,2075
181,fo19sep2001bhav,19sep2001,19,sep,2001,9,19,2001,2075
182,fo20sep2001bhav,20sep2001,20,sep,2001,9,20,2001,2076
183,fo21sep2001bhav,21sep2001,21,sep,2001,9,21,2001,2174
184,fo24sep2001bhav,24sep2001,24,sep,2001,9,24,2001,2173
185,fo25sep2001bhav,25sep2001,25,sep,2001,9,25,2001,2170
186,fo26sep2001bhav,26sep2001,26,sep,2001,9,26,2001,2271
187,fo27sep2001bhav,27sep2001,27,sep,2001,9,27,2001,2271
188,fo28sep2001bhav,28sep2001,28,sep,2001,9,28,2001,1713
189,fo01oct2001bhav,01oct2001,01,oct,2001,10,1,2001,1755
190,fo03oct2001bhav,03oct2001,03,oct,2001,10,3,2001,1771
191,fo04oct2001bhav,04oct2001,04,oct,2001,10,4,2001,1781
192,fo05oct2001bhav,05oct2001,05,oct,2001,10,5,2001,1791
193,fo08oct2001bhav,08oct2001,08,oct,2001,10,8,2001,1807
194,fo09oct2001bhav,09oct2001,09,oct,2001,10,9,2001,1811
195,fo10oct2001bhav,10oct2001,10,oct,2001,10,10,2001,1815
196,fo11oct2001bhav,11oct2001,11,oct,2001,10,11,2001,1825
197,fo12oct2001bhav,12oct2001,12,oct,2001,10,12,2001,1837
198,fo15oct2001bhav,15oct2001,15,oct,2001,10,15,2001,1849
199,fo16oct2001bhav,16oct2001,16,oct,2001,10,16,2001,1883
200,fo17oct2001bhav,17oct2001,17,oct,2001,10,17,2001,1891
201,fo18oct2001bhav,18oct2001,18,oct,2001,10,18,2001,1883
202,fo19oct2001bhav,19oct2001,19,oct,2001,10,19,2001,1885
203,fo22oct2001bhav,22oct2001,22,oct,2001,10,22,2001,1891
204,fo23oct2001bhav,23oct2001,23,oct,2001,10,23,2001,1917
205,fo24oct2001bhav,24oct2001,24,oct,2001,10,24,2001,1933
206,fo25oct2001bhav,25oct2001,25,oct,2001,10,25,2001,1967
207,fo29oct2001bhav,29oct2001,29,oct,2001,10,29,2001,1539
208,fo30oct2001bhav,30oct2001,30,oct,2001,10,30,2001,1557
209,fo31oct2001bhav,31oct2001,31,oct,2001,10,31,2001,1573
210,fo01nov2001bhav,01nov2001,01,nov,2001,11,1,2001,1591
211,fo02nov2001bhav,02nov2001,02,nov,2001,11,2,2001,1615
212,fo05nov2001bhav,05nov2001,05,nov,2001,11,5,2001,1631
213,fo06nov2001bhav,06nov2001,06,nov,2001,11,6,2001,1667
214,fo07nov2001bhav,07nov2001,07,nov,2001,11,7,2001,1691
215,fo08nov2001bhav,08nov2001,08,nov,2001,11,8,2001,1699
216,fo09nov2001bhav,09nov2001,09,nov,2001,11,9,2001,1802
217,fo12nov2001bhav,12nov2001,12,nov,2001,11,12,2001,1820
218,fo13nov2001bhav,13nov2001,13,nov,2001,11,13,2001,1844
219,fo14nov2001bhav,14nov2001,14,nov,2001,11,14,2001,1852
220,fo15nov2001bhav,15nov2001,15,nov,2001,11,15,2001,1870
221,fo19nov2001bhav,19nov2001,19,nov,2001,11,19,2001,1888
222,fo20nov2001bhav,20nov2001,20,nov,2001,11,20,2001,1970
223,fo21nov2001bhav,21nov2001,21,nov,2001,11,21,2001,2075
224,fo22nov2001bhav,22nov2001,22,nov,2001,11,22,2001,2077
225,fo23nov2001bhav,23nov2001,23,nov,2001,11,23,2001,2073
226,fo26nov2001bhav,26nov2001,26,nov,2001,11,26,2001,2073
227,fo27nov2001bhav,27nov2001,27,nov,2001,11,27,2001,2073
228,fo28nov2001bhav,28nov2001,28,nov,2001,11,28,2001,2175
229,fo29nov2001bhav,29nov2001,29,nov,2001,11,29,2001,2173
230,fo03dec2001bhav,03dec2001,03,dec,2001,12,3,2001,1668
231,fo04dec2001bhav,04dec2001,04,dec,2001,12,4,2001,1702
232,fo05dec2001bhav,05dec2001,05,dec,2001,12,5,2001,1720
233,fo06dec2001bhav,06dec2001,06,dec,2001,12,6,2001,1802
234,fo07dec2001bhav,07dec2001,07,dec,2001,12,7,2001,1850
235,fo10dec2001bhav,10dec2001,10,dec,2001,12,10,2001,1874
236,fo11dec2001bhav,11dec2001,11,dec,2001,12,11,2001,1884
237,fo12dec2001bhav,12dec2001,12,dec,2001,12,12,2001,1920
238,fo13dec2001bhav,13dec2001,13,dec,2001,12,13,2001,1928
239,fo14dec2001bhav,14dec2001,14,dec,2001,12,14,2001,1938
240,fo18dec2001bhav,18dec2001,18,dec,2001,12,18,2001,1938
241,fo19dec2001bhav,19dec2001,19,dec,2001,12,19,2001,1942
242,fo20dec2001bhav,20dec2001,20,dec,2001,12,20,2001,1964
243,fo21dec2001bhav,21dec2001,21,dec,2001,12,21,2001,1966
244,fo24dec2001bhav,24dec2001,24,dec,2001,12,24,2001,2074
245,fo26dec2001bhav,26dec2001,26,dec,2001,12,26,2001,2074
246,fo27dec2001bhav,27dec2001,27,dec,2001,12,27,2001,2073
247,fo28dec2001bhav,28dec2001,28,dec,2001,12,28,2001,1600
248,fo31dec2001bhav,31dec2001,31,dec,2001,12,31,2001,1620
249,fo01jan2002bhav,01jan2002,01,jan,2002,1,1,2002,1678
250,fo02jan2002bhav,02jan2002,02,jan,2002,1,2,2002,1682
251,fo03jan2002bhav,03jan2002,03,jan,2002,1,3,2002,1694
252,fo04jan2002bhav,04jan2002,04,jan,2002,1,4,2002,1712
253,fo07jan2002bhav,07jan2002,07,jan,2002,1,7,2002,1734
254,fo08jan2002bhav,08jan2002,08,jan,2002,1,8,2002,1772
255,fo09jan2002bhav,09jan2002,09,jan,2002,1,9,2002,1794
256,fo10jan2002bhav,10jan2002,10,jan,2002,1,10,2002,1810
257,fo11jan2002bhav,11jan2002,11,jan,2002,1,11,2002,1820
258,fo14jan2002bhav,14jan2002,14,jan,2002,1,14,2002,1828
259,fo15jan2002bhav,15jan2002,15,jan,2002,1,15,2002,1858
260,fo16jan2002bhav,16jan2002,16,jan,2002,1,16,2002,1862
261,fo17jan2002bhav,17jan2002,17,jan,2002,1,17,2002,1862
262,fo18jan2002bhav,18jan2002,18,jan,2002,1,18,2002,1896
263,fo21jan2002bhav,21jan2002,21,jan,2002,1,21,2002,1908
264,fo22jan2002bhav,22jan2002,22,jan,2002,1,22,2002,1910
265,fo23jan2002bhav,23jan2002,23,jan,2002,1,23,2002,1918
266,fo24jan2002bhav,24jan2002,24,jan,2002,1,24,2002,1930
267,fo25jan2002bhav,25jan2002,25,jan,2002,1,25,2002,1932
268,fo28jan2002bhav,28jan2002,28,jan,2002,1,28,2002,1934
269,fo29jan2002bhav,29jan2002,29,jan,2002,1,29,2002,1934
270,fo30jan2002bhav,30jan2002,30,jan,2002,1,30,2002,1934
271,fo31jan2002bhav,31jan2002,31,jan,2002,1,31,2002,1944
272,fo01feb2002bhav,01feb2002,01,feb,2002,2,1,2002,1578
273,fo04feb2002bhav,04feb2002,04,feb,2002,2,4,2002,1610
274,fo05feb2002bhav,05feb2002,05,feb,2002,2,5,2002,1642
275,fo06feb2002bhav,06feb2002,06,feb,2002,2,6,2002,1674
276,fo07feb2002bhav,07feb2002,07,feb,2002,2,7,2002,1770
277,fo08feb2002bhav,08feb2002,08,feb,2002,2,8,2002,1802
278,fo11feb2002bhav,11feb2002,11,feb,2002,2,11,2002,1814
279,fo12feb2002bhav,12feb2002,12,feb,2002,2,12,2002,1842
280,fo13feb2002bhav,13feb2002,13,feb,2002,2,13,2002,1848
281,fo14feb2002bhav,14feb2002,14,feb,2002,2,14,2002,3674
282,fo15feb2002bhav,15feb2002,15,feb,2002,2,15,2002,3765
283,fo18feb2002bhav,18feb2002,18,feb,2002,2,18,2002,2077
284,fo19feb2002bhav,19feb2002,19,feb,2002,2,19,2002,2075
285,fo20feb2002bhav,20feb2002,20,feb,2002,2,20,2002,2075
286,fo21feb2002bhav,21feb2002,21,feb,2002,2,21,2002,2175
287,fo22feb2002bhav,22feb2002,22,feb,2002,2,22,2002,2176
288,fo25feb2002bhav,25feb2002,25,feb,2002,2,25,2002,2175
289,fo26feb2002bhav,26feb2002,26,feb,2002,2,26,2002,2176
290,fo27feb2002bhav,27feb2002,27,feb,2002,2,27,2002,2176
291,fo28feb2002bhav,28feb2002,28,feb,2002,2,28,2002,2275
292,fo01mar2002bhav,01mar2002,01,mar,2002,3,1,2002,1782
293,fo04mar2002bhav,04mar2002,04,mar,2002,3,4,2002,1842
294,fo05mar2002bhav,05mar2002,05,mar,2002,3,5,2002,1872
295,fo06mar2002bhav,06mar2002,06,mar,2002,3,6,2002,1894
296,fo07mar2002bhav,07mar2002,07,mar,2002,3,7,2002,1894
297,fo08mar2002bhav,08mar2002,08,mar,2002,3,8,2002,1920
298,fo11mar2002bhav,11mar2002,11,mar,2002,3,11,2002,3861
299,fo12mar2002bhav,12mar2002,12,mar,2002,3,12,2002,1930
300,fo13mar2002bhav,13mar2002,13,mar,2002,3,13,2002,3857
301,fo14mar2002bhav,14mar2002,14,mar,2002,3,14,2002,1932
302,fo15mar2002bhav,15mar2002,15,mar,2002,3,15,2002,1940
303,fo18mar2002bhav,18mar2002,18,mar,2002,3,18,2002,1946
304,fo19mar2002bhav,19mar2002,19,mar,2002,3,19,2002,3859
305,fo20mar2002bhav,20mar2002,20,mar,2002,3,20,2002,3948
306,fo21mar2002bhav,21mar2002,21,mar,2002,3,21,2002,1954
307,fo22mar2002bhav,22mar2002,22,mar,2002,3,22,2002,7905
308,fo26mar2002bhav,26mar2002,26,mar,2002,3,26,2002,5841
309,fo27mar2002bhav,27mar2002,27,mar,2002,3,27,2002,1978
310,fo28mar2002bhav,28mar2002,28,mar,2002,3,28,2002,2076
311,fo01apr2002bhav,01apr2002,01,apr,2002,4,1,2002,1542
