"Datepart";"Monthpart";"Yearpart";"Date";"Type"
18;8;2016;"18-08-2016";"INDEX"
30;1;2003;"30-01-2003";"INDEX"
30;4;2009;"30-04-2009";"INDEX"
24;4;2014;"24-04-2014";"INDEX"
29;12;2005;"29-12-2005";"INDEX"
20;1;2012;"20-01-2012";"INDEX"
28;7;2005;"28-07-2005";"INDEX"
28;7;2011;"28-07-2011";"INDEX"
24;4;2008;"24-04-2008";"INDEX"
28;4;2011;"28-04-2011";"INDEX"
26;3;2015;"26-03-2015";"INDEX"
28;4;2016;"28-04-2016";"INDEX"
30;4;2015;"30-04-2015";"INDEX"
29;5;2014;"29-05-2014";"INDEX"
15;3;2013;"15-03-2013";"INDEX"
15;2;2013;"15-02-2013";"INDEX"
30;9;2004;"30-09-2004";"INDEX"
30;1;2014;"30-01-2014";"INDEX"
19;6;2015;"19-06-2015";"INDEX"
15;12;2016;"15-12-2016";"INDEX"
22;12;2016;"22-12-2016";"INDEX"
24;4;2003;"24-04-2003";"INDEX"
28;7;2016;"28-07-2016";"INDEX"
24;9;2009;"24-09-2009";"INDEX"
15;11;2013;"15-11-2013";"INDEX"
20;1;2017;"20-01-2017";"INDEX"
29;5;2008;"29-05-2008";"INDEX"
24;9;2015;"24-09-2015";"INDEX"
21;9;2012;"21-09-2012";"INDEX"
20;2;2015;"20-02-2015";"INDEX"
19;2;2016;"19-02-2016";"INDEX"
29;5;2003;"29-05-2003";"INDEX"
30;9;2010;"30-09-2010";"INDEX"
19;9;2014;"19-09-2014";"INDEX"
26;3;2009;"26-03-2009";"INDEX"
18;12;2015;"18-12-2015";"INDEX"
26;9;2013;"26-09-2013";"INDEX"
24;12;2003;"24-12-2003";"INDEX"
17;8;2012;"17-08-2012";"INDEX"
29;1;2015;"29-01-2015";"INDEX"
28;11;2013;"28-11-2013";"INDEX"
26;8;2010;"26-08-2010";"INDEX"
29;11;2007;"29-11-2007";"INDEX"
20;9;2013;"20-09-2013";"INDEX"
18;10;2013;"18-10-2013";"INDEX"
19;7;2013;"19-07-2013";"INDEX"
29;11;2001;"29-11-2001";"INDEX"
30;11;2000;"30-11-2000";"INDEX"
